time,sha1_cert,reason
2/23/17 12:43,af01a859ba00dced9ea61ae537bfb4cb5d3deb0a,TorrentLocker C&C
2/23/17 10:52,a1e6cc33a4a957f2f2210298388860164dc08404,Quakbot C&C
2/23/17 10:52,34766e3b5a53ea039d0d7bf644694514034c26aa,Quakbot C&C
2/23/17 10:52,851ae021344b31eaa08150b7faa15a57fcb155c3,Quakbot C&C
2/23/17 10:51,02322f134d1c4d43e7f905ccbb25431ba97e0cb8,Quakbot C&C
2/23/17 10:51,374c24ceee9208a1881b73367ad24146ec8c23bb,Quakbot C&C
2/23/17 10:51,dfa54f6e3078098e4cd6e320303798f27a640096,Quakbot C&C
2/23/17 10:51,5a4e01e0cea58394c64bce65a7e3ef28531465d1,Quakbot C&C
2/23/17 10:27,e6d837214a818176711a61646bdb39aa02328644,Quakbot C&C
2/23/17 10:22,439b32934ab596ddcef47ab13bbcd51a1b269896,Quakbot C&C
2/23/17 10:21,62db4dedd08c629eafd8dd93bf4b377a61f46c8e,Quakbot C&C
2/23/17 8:54,41a67232b0ac84f15cedfc4ea85967b56e60aacd,Gozi MITM
2/23/17 8:53,b98b1c5fed9219a0c9d3d4f2a961fa6c484895a8,Gozi MITM
2/23/17 8:53,886efd7c7625c3729cd1bb92d86ec917f544fbbb,Gozi MITM
2/23/17 8:51,6dbb33711ac50d17b8048be9128aba6456f25f6a,Gozi MITM
2/23/17 7:14,732bc431d9d422401c185370f481cc2ceb9d8326,TorrentLocker C&C
2/22/17 14:41,be691786564d7246b3ba9563e8e9620641c363c4,TorrentLocker C&C
2/21/17 10:23,a76dbfaae146437a1366b5a32d5995948e6300d1,Dridex C&C
2/21/17 10:23,a9f92a278122c92d17aeedfce52c7f57d4cc95b7,Dridex C&C
2/21/17 10:23,ff10a406afa697ceb60ca2ac743ebb928d5eddf7,Dridex C&C
2/20/17 7:50,1fcac1c039dd9dd58a4b933caa034a7a91391700,Dridex C&C
2/18/17 9:02,f295d82ec0f1791f02d54ed1112dcc9ab3fde2bf,Android Marcher C&C
2/18/17 9:02,c0d63a9d2d306d3d862057df53682c978b04d874,Android Marcher C&C
2/18/17 9:02,3c12f2496d67941938718f8283d638b9329eb981,Android Marcher C&C
2/18/17 9:02,e602afd1f7e1250c03df84e27ad242afc1099f6a,Android Marcher C&C
2/18/17 9:01,e8d1b7885f5133a601468cf2c02dcc2b5c59c23e,Android Marcher C&C
2/17/17 6:47,53ba46ad70662e1d3eebce454cd4062512f717c8,Gootkit C&C
2/16/17 15:46,512263416240f664f5b6c8e765498c0ffd45729e,TorrentLocker C&C
2/16/17 10:05,8fc4a51bb808d0050a85f55de93b3aa9db4fef90,Gozi MITM
